symbol,name
AADI.JK,Adaro Andalan Indonesia Tbk.
AALI.JK,PT Astra Agro Lestari Tbk
ABBA.JK,PT Mahaka Media Tbk
ABDA.JK,PT Asuransi Bina Dana Arta Tbk
ABMM.JK,PT ABM Investama Tbk
ACES.JK,PT Aspirasi Hidup Indonesia Tbk
ACRO.JK,Samcro Hyosung Adilestari Tbk.
ACST.JK,PT Acset Indonusa Tbk
ADES.JK,PT Akasha Wira International Tbk
ADHI.JK,PT Adhi Karya (Persero) Tbk
ADMF.JK,PT Adira Dinamika Multi Finance Tbk
ADMG.JK,PT. Polychem Indonesia Tbk
ADMR.JK,PT Alamtri Minerals Indonesia Tbk
ADRO.JK,PT Alamtri Resources Indonesia Tbk
AEGS.JK,PT. Anugerah Spareparts Sejahtera Tbk
AGAR.JK,PT Asia Sejahtera Mina Tbk
AGII.JK,PT Samator Indo Gas Tbk
AGRO.JK,PT Bank Raya Indonesia Tbk
AGRS.JK,PT Bank IBK Indonesia Tbk
AHAP.JK,PT Asuransi Harta Aman Pratama Tbk
AIMS.JK,PT Artha Mahiya Investama Tbk
AISA.JK,PT FKS Food Sejahtera Tbk
AKPI.JK,PT Argha Karya Prima Industry Tbk
AKRA.JK,PT AKR Corporindo Tbk
AKSI.JK,PT Mineral Sumberdaya Mandiri Tbk
ALDO.JK,PT Alkindo Naratama Tbk
ALII.JK,Ancara Logistics Indonesia Tbk.
ALKA.JK,PT Alakasa Industrindo Tbk
AMAG.JK,PT Asuransi Multi Artha Guna Tbk
AMAN.JK,PT Makmur Berkah Amanda Tbk
AMAR.JK,PT Bank Amar Indonesia Tbk
AMFG.JK,PT Asahimas Flat Glass Tbk
AMIN.JK,PT Ateliers Mecaniques D'Indonesie Tbk
AMMN.JK,PT Amman Mineral Internasional Tbk
AMMS.JK,PT Agung Menjangan Mas Tbk
AMOR.JK,PT Ashmore Asset Management Indonesia Tbk
AMRT.JK,PT Sumber Alfaria Trijaya Tbk
ANDI.JK,"PT Andira Agro, Tbk"
ANJT.JK,PT Austindo Nusantara Jaya Tbk
ANTM.JK,PT Antam (Persero) Tbk
APEX.JK,PT Apexindo Pratama Duta Tbk
APIC.JK,PT Pacific Strategic Financial Tbk
APII.JK,PT Arita Prima Indonesia Tbk
APLI.JK,PT Asiaplast Industries Tbk
APLN.JK,PT Agung Podomoro Land Tbk
ARCI.JK,PT Archi Indonesia Tbk
AREA.JK,Dunia Virtual Online Tbk.
ARGO.JK,PT Argo Pantes Tbk
ARII.JK,PT Atlas Resources Tbk
ARKA.JK,PT Arkha Jayanti Persada Tbk
ARKO.JK,PT Arkora Hydro Tbk
ARNA.JK,PT Arwana Citramulia Tbk
ARTA.JK,PT Arthavest Tbk
ARTO.JK,PT Bank Jago Tbk
ASBI.JK,PT Asuransi Bintang Tbk
ASDM.JK,PT Asuransi Dayin Mitra Tbk
ASGR.JK,PT Astra Graphia Tbk
ASHA.JK,PT Cilacap Samudera Fishing Industry Tbk
ASII.JK,PT Astra International Tbk
ASJT.JK,PT Asuransi Jasa Tania Tbk
ASLC.JK,PT Autopedia Sukses Lestari Tbk
ASLI.JK,Asri Karya Lestari Tbk.
ASMI.JK,PT Asuransi Maximus Graha Persada Tbk
ASPI.JK,PT Andalan Sakti Primaindo Tbk
ASPR.JK,Asia Pramulia Tbk.
ASRI.JK,PT Alam Sutera Realty Tbk
ASRM.JK,PT Asuransi Ramayana Tbk
ASSA.JK,PT Adi Sarana Armada Tbk
ATAP.JK,PT Trimitra Prawara Goldland Tbk
ATIC.JK,PT Anabatic Technologies Tbk
ATLA.JK,Atlantis Subsea Indonesia Tbk.
AUTO.JK,PT Astra Otoparts Tbk
AVIA.JK,PT Avia Avian Tbk
AWAN.JK,PT Era Digital Media Tbk
AXIO.JK,PT Tera Data Indonusa Tbk
AYAM.JK,Janu Putra Sejahtera Tbk.
AYLS.JK,PT Agro Yasa Lestari Tbk
BABP.JK,PT Bank MNC Internasional Tbk
BABY.JK,PT Multitrend Indo Tbk
BACA.JK,PT Bank Capital Indonesia Tbk
BAIK.JK,Bersama Mencapai Puncak Tbk.
BAJA.JK,PT Saranacentral Bajatama Tbk
BALI.JK,PT Bali Towerindo Sentra Tbk
BANK.JK,PT Bank Aladin Syariah Tbk
BAPA.JK,PT Bekasi Asri Pemula Tbk
BAPI.JK,PT Bhakti Agung Propertindo Tbk
BATA.JK,PT Sepatu Bata Tbk.
BATR.JK,Benteng Api Technic Tbk.
BAUT.JK,PT Mitra Angkasa Sejahtera Tbk
BAYU.JK,PT Bayu Buana Tbk
BBCA.JK,PT Bank Central Asia Tbk
BBHI.JK,PT Allo Bank Indonesia Tbk
BBKP.JK,PT Bank KB Indonesia Tbk
BBLD.JK,PT Buana Finance Tbk
BBMD.JK,PT Bank Mestika Dharma Tbk
BBNI.JK,PT Bank Negara Indonesia (Persero) Tbk
BBRI.JK,PT Bank Rakyat Indonesia (Persero) Tbk
BBRM.JK,PT Pelayaran Nasional Bina Buana Raya Tbk
BBSI.JK,PT Krom Bank Indonesia Tbk
BBSS.JK,PT Bumi Benowo Sukses Sejahtera Tbk
BBTN.JK,PT Bank Tabungan Negara (Persero) Tbk
BBYB.JK,PT Bank Neo Commerce Tbk
BCAP.JK,PT MNC Kapital Indonesia Tbk
BCIC.JK,PT Bank JTrust Indonesia Tbk
BCIP.JK,PT Bumi Citra Permai Tbk
BDKR.JK,PT Berdikari Pondasi Perkasa Tbk
BDMN.JK,PT Bank Danamon Indonesia Tbk
BEEF.JK,PT Estika Tata Tiara Tbk
BEER.JK,PT Jobubu Jarum Minahasa Tbk
BEKS.JK,"PT. Bank Pembangunan Daerah Banten, Tbk"
BELI.JK,PT Global Digital Niaga Tbk
BELL.JK,PT Trisula Textile Industries Tbk
BESS.JK,PT Batulicin Nusantara Maritim Tbk
BEST.JK,PT Bekasi Fajar Industrial Estate Tbk
BFIN.JK,PT BFI Finance Indonesia Tbk
BGTG.JK,PT Bank Ganesha Tbk
BHAT.JK,PT Bhakti Multi Artha Tbk
BHIT.JK,PT MNC Asia Holding Tbk
BINA.JK,PT Bank Ina Perdana Tbk
BINO.JK,PT Perma Plasindo Tbk
BIPI.JK,PT Astrindo Nusantara Infrastruktur Tbk
BIPP.JK,PT Bhuwanatala Indah Permai Tbk
BIRD.JK,PT Blue Bird Tbk
BISI.JK,PT BISI International Tbk
BJBR.JK,PT Bank Pembangunan Daerah Jawa Barat dan Banten Tbk
BJTM.JK,PT Bank Pembangunan Daerah Jawa Timur Tbk
BKDP.JK,PT Bukit Darmo Property Tbk
BKSL.JK,PT Sentul City Tbk
BKSW.JK,PT Bank QNB Indonesia Tbk
BLES.JK,Superior Prima Sukses Tbk.
BLOG.JK,Trimitra Trans Persada Tbk.
BLTA.JK,PT Berlian Laju Tanker Tbk
BLTZ.JK,PT Graha Layar Prima Tbk
BLUE.JK,PT Berkah Prima Perkasa Tbk
BMAS.JK,PT Bank Maspion Indonesia Tbk
BMBL.JK,PT Lavender Bina Cendikia Tbk
BMHS.JK,PT Bundamedik Tbk
BMRI.JK,PT Bank Mandiri (Persero) Tbk
BMSR.JK,PT Bintang Mitra Semestaraya Tbk
BMTR.JK,PT Global Mediacom Tbk
BNBA.JK,PT Bank Bumi Arta Tbk
BNBR.JK,PT Bakrie & Brothers Tbk
BNGA.JK,PT Bank CIMB Niaga Tbk
BNII.JK,PT Bank Maybank Indonesia Tbk
BNLI.JK,PT Bank Permata Tbk
BOAT.JK,PT Newport Marine Services TBK
BOBA.JK,PT Formosa Ingredient Factory Tbk
BOGA.JK,PT Apollo Global Interactive Tbk
BOLA.JK,PT Bali Bintang Sejahtera Tbk
BOLT.JK,PT Garuda Metalindo Tbk
BPFI.JK,PT Woori Finance Indonesia Tbk
BPII.JK,PT Batavia Prosperindo Internasional Tbk
BPTR.JK,PT Batavia Prosperindo Trans Tbk
BRAM.JK,PT Indo Kordsa Tbk
BREN.JK,PT Barito Renewables Energy Tbk
BRIS.JK,PT Bank Syariah Indonesia Tbk
BRMS.JK,PT Bumi Resources Minerals Tbk
BRNA.JK,PT Berlina Tbk
BRPT.JK,PT Barito Pacific Tbk
BRRC.JK,Raja Roti Cemerlang Tbk.
BSBK.JK,PT Wulandari Bangun Laksana Tbk
BSDE.JK,PT Bumi Serpong Damai Tbk
BSIM.JK,PT Bank Sinarmas Tbk
BSML.JK,PT Bintang Samudera Mandiri Lines Tbk
BSSR.JK,PT Baramulti Suksessarana Tbk
